"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","15771","Dados"
"TIMESTAMP","RECORD","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","RN","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-01-27 00:00:00",27583,0,27.86,0.133,0,0,0,0,0,0,0,107.8,0,222.4
"2019-01-27 00:01:00",27584,0,27.8,0.133,0,0,0,0,0,0,0,107.6,0,222.5
"2019-01-27 00:02:00",27585,0,27.83,0.132,0,0,0,0,0,0,0,107.7,0,222.7
"2019-01-27 00:03:00",27586,0,27.88,0.133,0,0,0,0,0,0,0,107.6,0,222.8
"2019-01-27 00:04:00",27587,0,27.87,0.133,0,0,0,0,0,0,0,107.7,0,222.4
"2019-01-27 00:05:00",27588,0,27.9,0.133,0,0,0,0,0,0,0,107.6,0,222.8
"2019-01-27 00:06:00",27589,0,27.81,0.132,0,0,0,0,0,0,0,107.6,0,223.8
"2019-01-27 00:07:00",27590,0,27.8,0.132,0,0,0,0,0,0,0,107.7,0,223.4
"2019-01-27 00:08:00",27591,0,27.86,0.132,0,0,0,0,0,0,0,107.9,0,223.6
"2019-01-27 00:09:00",27592,0,27.82,0.133,0,0,0,0,0,0,0,107.8,0,223.8
"2019-01-27 00:10:00",27593,0,27.84,0.131,0,0,0,0,0,0,0,107.8,0,223.6
"2019-01-27 00:11:00",27594,0,27.83,0.13,0,0,0,0,0,0,0,107.9,0,223.6
"2019-01-27 00:12:00",27595,0,27.84,0.129,0,0,0,0,0,0,0,107.7,0,223.5
"2019-01-27 00:13:00",27596,0,27.86,0.129,0,0,0,0,0,0,0,107.6,0,223.7
"2019-01-27 00:14:00",27597,0,27.85,0.129,0,0,0,0,0,0,0,107.7,0,223.8
"2019-01-27 00:15:00",27598,0,27.84,0.13,0,0,0,0,0,0,0,107.5,0,223.9
"2019-01-27 00:16:00",27599,0,27.84,0.131,0,0,0,0,0,0,0,107.6,0,223.3
"2019-01-27 00:17:00",27600,0,27.82,0.132,0,0,0,0,0,0,0,107.7,0,223
"2019-01-27 00:18:00",27601,0,27.77,0.133,0,0,0,0,0,0,0,107.6,0,222
"2019-01-27 00:19:00",27602,0,27.74,0.134,0,0,0,0,0,0,0,107.4,0,221.8
"2019-01-27 00:20:00",27603,0,27.69,0.134,0,0,0,0,0,0,0,107.4,0,221.6
"2019-01-27 00:21:00",27604,0,27.66,0.133,0,0,0,0,0,0,0,107.5,0,221.8
"2019-01-27 00:22:00",27605,0,27.66,0.132,0,0,0,0,0,0,0,107.4,0,222.3
"2019-01-27 00:23:00",27606,0,27.62,0.132,0,0,0,0,0,0,0,107.4,0,222.2
"2019-01-27 00:24:00",27607,0,27.63,0.132,0,0,0,0,0,0,0,107.4,0,222.4
"2019-01-27 00:25:00",27608,0,27.58,0.132,0,0,0,0,0,0,0,107.4,0,222
"2019-01-27 00:26:00",27609,0,27.57,0.131,0,0,0,0,0,0,0,107.3,0,222.4
"2019-01-27 00:27:00",27610,0,27.48,0.131,0,0,0,0,0,0,0,107.4,0,222.7
"2019-01-27 00:28:00",27611,0,27.49,0.131,0,0,0,0,0,0,0,107.4,0,222.4
"2019-01-27 00:29:00",27612,0,27.47,0.131,0,0,0,0,0,0,0,107.5,0,222.8
"2019-01-27 00:30:00",27613,0,27.45,0.13,0,0,0,0,0,0,0,107.3,0,222.7
"2019-01-27 00:31:00",27614,0,27.46,0.128,0,0,0,0,0,0,0,108.3,0,222.6
"2019-01-27 00:32:00",27615,0,27.38,0.127,0,0,0,0,0,0,0,107.4,0,222.3
"2019-01-27 00:33:00",27616,0,27.47,0.126,0,0,0,0,0,0,0,107.3,0,222
"2019-01-27 00:34:00",27617,0,27.52,0.126,0,0,0,0,0,0,0,107.6,0,222.6
"2019-01-27 00:35:00",27618,0,27.52,0.126,0,0,0,0,0,0,0,107.4,0,221.9
"2019-01-27 00:36:00",27619,0,27.51,0.128,0,0,0,0,0,0,0,107.4,0,221.8
"2019-01-27 00:37:00",27620,0,27.53,0.129,0,0,0,0,0,0,0,107.2,0,221.8
"2019-01-27 00:38:00",27621,0,27.57,0.129,0,0,0,0,0,0,0,107.5,0,222.3
"2019-01-27 00:39:00",27622,0,27.56,0.13,0,0,0,0,0,0,0,107.7,0,222.7
"2019-01-27 00:40:00",27623,0,27.49,0.129,0,0,0,0,0,0,0,107.5,0,222.2
"2019-01-27 00:41:00",27624,0,27.55,0.128,0,0,0,0,0,0,0,107.4,0,221.9
"2019-01-27 00:42:00",27625,0,27.65,0.128,0,0,0,0,0,0,0,107.5,0,221.2
"2019-01-27 00:43:00",27626,0,27.67,0.128,0,0,0,0,0,0,0,107.4,0,221.6
"2019-01-27 00:44:00",27627,0,27.72,0.128,0,0,0,0,0,0,0,107.4,0,220.5
"2019-01-27 00:45:00",27628,0,27.73,0.129,0,0,0,0,0,0,0,107.4,0,220.8
"2019-01-27 00:46:00",27629,0,27.73,0.129,0,0,0,0,0,0,0,107.2,0,221.2
"2019-01-27 00:47:00",27630,0,27.75,0.131,0,0,0,0,0,0,0,107.1,0,220.6
