"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","22591","Dados"
"TIMESTAMP","RECORD","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","RN","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-02-19 00:00:00",60702,0.12,28.17,0.164,21.87,0.015,0.333,9.87,0.061,0.606,-50.68,177.6,0,220.3
"2019-02-19 00:01:00",60703,0.096,28.15,0.164,21.83,0.015,0.332,9.82,0.062,0.606,-50.37,180.9,0,220.2
"2019-02-19 00:02:00",60704,0.17,28.16,0.164,21.81,0.015,0.329,9.84,0.061,0.602,-50,180,0,220.2
"2019-02-19 00:03:00",60705,0.025,28.16,0.164,21.81,0.015,0.333,9.95,0.06,0.595,-50.21,178.7,0,220.3
"2019-02-19 00:04:00",60706,0.091,28.18,0.163,21.84,0.015,0.336,10.01,0.059,0.594,-50.59,176.8,0,220.3
"2019-02-19 00:05:00",60707,0.154,28.15,0.165,21.01,0.016,0.34,7.502,0.06,0.453,-50.34,180,0,220.2
"2019-02-19 00:06:00",60708,0.104,28.13,0.165,21.69,0.016,0.348,9.13,0.06,0.55,-50.53,182.4,0,219.9
"2019-02-19 00:07:00",60709,0.141,28.15,0.164,21.79,0.015,0.327,9.56,0.059,0.567,-51.02,181.4,0,219.5
"2019-02-19 00:08:00",60710,0.008,28.14,0.165,21.79,0.015,0.319,9.3,0.061,0.566,-51.06,181.6,0,219.2
"2019-02-19 00:09:00",60711,0.266,28.11,0.165,21.82,0.016,0.34,8.96,0.061,0.546,-50.67,181.6,0,219
"2019-02-19 00:10:00",60712,0,28.14,0.164,21.72,0.015,0.328,9.29,0.062,0.572,-51.45,183.1,0,219.8
"2019-02-19 00:11:00",60713,0.241,28.22,0.163,22.02,0.015,0.32,10.21,0.061,0.624,-51.17,179,0,220.1
"2019-02-19 00:12:00",60714,0.062,28.26,0.164,22.09,0.015,0.329,9.71,0.06,0.586,-51.55,179.3,0,220.6
"2019-02-19 00:13:00",60715,0.237,28.33,0.164,22.02,0.015,0.332,9.83,0.061,0.597,-50.19,178.4,0,220.6
"2019-02-19 00:14:00",60716,0.253,28.41,0.163,22.03,0.014,0.308,10.2,0.06,0.613,-51.07,187.2,0,220.9
"2019-02-19 00:15:00",60717,-0.091,28.46,0.163,22.15,0.015,0.336,10.35,0.06,0.622,-50.95,190.9,0,220.5
"2019-02-19 00:16:00",60718,-0.141,28.54,0.163,22.32,0.015,0.341,10.53,0.061,0.639,-50.68,186.9,0,220.7
"2019-02-19 00:17:00",60719,0.112,28.6,0.163,22.42,0.015,0.338,10.55,0.061,0.64,-50.64,185.4,0,221.7
"2019-02-19 00:18:00",60720,0.262,28.68,0.163,22.41,0.015,0.333,10.54,0.06,0.635,-50.49,187.5,0,222.2
"2019-02-19 00:19:00",60721,0.22,28.7,0.163,22.38,0.016,0.351,10.19,0.06,0.615,-48.71,189.6,0,222.1
"2019-02-19 00:20:00",60722,0.05,28.74,0.165,22.26,0.016,0.347,9.37,0.061,0.574,-48.51,180.7,0,222.2
"2019-02-19 00:21:00",60723,-0.091,28.75,0.166,22.08,0.016,0.357,8.65,0.061,0.526,-48.59,180.3,0,222.1
"2019-02-19 00:22:00",60724,-0.096,28.76,0.167,21.87,0.015,0.332,8.08,0.06,0.484,-48.18,189,0,222.3
"2019-02-19 00:23:00",60725,0.008,28.77,0.167,21.62,0.015,0.318,7.654,0.061,0.466,-49.22,179.4,0,223.2
"2019-02-19 00:24:00",60726,0.469,28.77,0.167,21.38,0.015,0.311,7.27,0.059,0.431,-46.63,175.9,0,222.2
"2019-02-19 00:25:00",60727,0.087,28.77,0.166,21.21,0.014,0.291,8,0.059,0.476,-48.63,176,0,223.1
"2019-02-19 00:26:00",60728,-0.062,28.73,0.162,21.39,0.015,0.324,9.56,0.061,0.583,-47.43,176.5,0,222.8
"2019-02-19 00:27:00",60729,0.282,28.67,0.161,21.69,0.015,0.316,9.87,0.059,0.585,-47.58,175.2,0,222.7
"2019-02-19 00:28:00",60730,-0.199,28.65,0.163,21.79,0.016,0.348,9.5,0.06,0.572,-46.5,176.4,0,223
"2019-02-19 00:29:00",60731,0.191,28.62,0.162,21.87,0.015,0.333,9.87,0.06,0.593,-47.65,182,0,223.3
"2019-02-19 00:30:00",60732,0,28.55,0.162,21.95,0.015,0.329,10.08,0.061,0.61,-48.38,183.1,0,221.6
"2019-02-19 00:31:00",60733,-0.004,28.47,0.162,21.92,0.016,0.343,9.96,0.062,0.616,-49.11,180.6,0,220.7
"2019-02-19 00:32:00",60734,0.083,28.46,0.161,21.88,0.015,0.319,9.84,0.064,0.631,-50.26,186.8,0,221.2
"2019-02-19 00:33:00",60735,0.465,28.34,0.161,21.86,0.015,0.333,9.76,0.065,0.633,-48.52,193.3,0,220.9
"2019-02-19 00:34:00",60736,0.17,28.34,0.162,21.82,0.015,0.322,9.71,0.063,0.614,-50.2,179.2,0,220.9
"2019-02-19 00:35:00",60737,0.004,28.27,0.162,21.77,0.015,0.326,9.62,0.063,0.61,-48.33,168.3,0,220.7
