"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","61405","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-05-26 00:00:00",0,27.39,0.154,0,0,0,0,0,0,0,65.26,0.136,226.1
"2019-05-26 00:01:00",0,27.34,0.153,0,0,0,0,0,0,0,65.29,0.17,226.3
"2019-05-26 00:02:00",0,27.33,0.153,0,0,0,0,0,0,0,65.32,0.182,226.1
"2019-05-26 00:03:00",0,27.38,0.153,0,0,0,0,0,0,0,65.21,0.159,226.1
"2019-05-26 00:04:00",0,27.3,0.154,0,0,0,0,0,0,0,65.02,0.091,226
"2019-05-26 00:05:00",0,27.26,0.154,0,0,0,0,0,0,0,65.24,0.148,226
"2019-05-26 00:06:00",0,27.26,0.155,0,0,0,0,0,0,0,65.15,0.08,225.5
"2019-05-26 00:07:00",0,27.22,0.155,0,0,0,0,0,0,0,65.02,0.182,225.8
"2019-05-26 00:08:00",0,27.21,0.155,0,0,0,0,0,0,0,65.05,0.204,225.8
"2019-05-26 00:09:00",0,27.18,0.155,0,0,0,0,0,0,0,65.04,0.227,226.2
"2019-05-26 00:10:00",0,27.1,0.154,0,0,0,0,0,0,0,65.15,0.159,225.8
"2019-05-26 00:11:00",0,27.07,0.153,0,0,0,0,0,0,0,100.5,0.159,225.7
"2019-05-26 00:12:00",0,27.06,0.153,0,0,0,0,0,0,0,155.8,0.125,225.8
"2019-05-26 00:13:00",0,27.04,0.153,0,0,0,0,0,0,0,153.7,0.193,226
"2019-05-26 00:14:00",0,27.09,0.153,0,0,0,0,0,0,0,152.7,0.17,225.5
"2019-05-26 00:15:00",0,27.18,0.153,0,0,0,0,0,0,0,151.8,0.193,225.9
"2019-05-26 00:16:00",0,27.17,0.153,0,0,0,0,0,0,0,150.9,0.193,225.2
"2019-05-26 00:17:00",0,27.17,0.153,0,0,0,0,0,0,0,149.8,0.204,225.1
"2019-05-26 00:18:00",0,27.12,0.152,0,0,0,0,0,0,0,148.7,0.17,225.5
"2019-05-26 00:19:00",0,27.08,0.152,0,0,0,0,0,0,0,147.5,0.148,225.3
"2019-05-26 00:20:00",0,27.2,0.152,0,0,0,0,0,0,0,146.1,0.284,224.2
"2019-05-26 00:21:00",0,27.21,0.153,0,0,0,0,0,0,0,145.1,0.148,223.7
"2019-05-26 00:22:00",0,27.2,0.154,0,0,0,0,0,0,0,143.9,0.204,223.7
"2019-05-26 00:23:00",0,27.16,0.155,0,0,0,0,0,0,0,142.6,0.17,223.7
"2019-05-26 00:24:00",0,27.2,0.155,0,0,0,0,0,0,0,141.4,0.159,223.8
"2019-05-26 00:25:00",0,27.16,0.155,0,0,0,0,0,0,0,140.6,0.114,223.7
"2019-05-26 00:26:00",0,27.09,0.155,0,0,0,0,0,0,0,140.2,0.125,224.9
"2019-05-26 00:27:00",0,27.03,0.154,0,0,0,0,0,0,0,139.6,0.136,225.4
"2019-05-26 00:28:00",0,26.99,0.154,0,0,0,0,0,0,0,138.8,0.136,225
"2019-05-26 00:29:00",0,26.93,0.153,0,0,0,0,0,0,0,138.3,0.182,224.5
"2019-05-26 00:30:00",0,26.91,0.152,0,0,0,0,0,0,0,137.7,0.193,224.8
"2019-05-26 00:31:00",0,26.91,0.152,0,0,0,0,0,0,0,137.4,0.125,224.8
"2019-05-26 00:32:00",0,26.87,0.151,0,0,0,0,0,0,0,105.9,0.08,225
"2019-05-26 00:33:00",0,26.88,0.152,0,0,0,0,0,0,0,65.15,0.023,225.2
"2019-05-26 00:34:00",0,26.9,0.152,0,0,0,0,0,0,0,65.02,0.148,225.6
"2019-05-26 00:35:00",0,26.98,0.152,0,0,0,0,0,0,0,65.12,0.193,226.3
"2019-05-26 00:36:00",0,27.04,0.152,0,0,0,0,0,0,0,64.94,0.148,226
"2019-05-26 00:37:00",0,27.01,0.153,0,0,0,0,0,0,0,65.11,0.227,226.7
"2019-05-26 00:38:00",0,26.97,0.154,0,0,0,0,0,0,0,64.97,0.295,228.1
"2019-05-26 00:39:00",0,26.84,0.153,0,0,0,0,0,0,0,65.03,0.114,227.5
"2019-05-26 00:40:00",0,26.74,0.153,0,0,0,0,0,0,0,65,0.125,227.5
"2019-05-26 00:41:00",0,26.7,0.153,0,0,0,0,0,0,0,65.07,0.136,228.2
"2019-05-26 00:42:00",0,26.7,0.152,0,0,0,0,0,0,0,64.92,0,227.1
"2019-05-26 00:43:00",0,26.65,0.152,0,0,0,0,0,0,0,64.75,0.08,227.8
"2019-05-26 00:44:00",0,26.59,0.152,0,0,0,0,0,0,0,64.99,0.068,228.1
"2019-05-26 00:45:00",0,26.53,0.151,0,0,0,0,0,0,0,64.92,0.216,228
"2019-05-26 00:46:00",0,26.45,0.152,0,0,0,0,0,0,0,64.94,0.136,227.5
"2019-05-26 00:47:00",0,26.44,0.151,0,0,0,0,0,0,0,64.94,0.136,226.6
"2019-05-26 00:48:00",0,26.46,0.151,0,0,0,0,0,0,0,64.91,0.182,227.3
"2019-05-26 00:49:00",0,26.35,0.151,0,0,0,0,0,0,0,64.89,0.091,227.9
"2019-05-26 00:50:00",0,26.3,0.151,0,0,0,0,0,0,0,65.02,0.125,227.2
"2019-05-26 00:51:00",0,26.22,0.151,0,0,0,0,0,0,0,64.95,0.17,226.8
"2019-05-26 00:52:00",0,26.16,0.151,0,0,0,0,0,0,0,64.88,0.125,227.5
"2019-05-26 00:53:00",0,26.11,0.151,0,0,0,0,0,0,0,64.89,0.204,227.7
"2019-05-26 00:54:00",0,26.02,0.15,0,0,0,0,0,0,0,64.89,0.193,227.7
"2019-05-26 00:55:00",0,25.95,0.143,0,0,0,0,0,0,0,64.74,0.193,230.5
"2019-05-26 00:56:00",0,25.91,0.145,0,0,0,0,0,0,0,64.86,0.148,228.9
"2019-05-26 00:57:00",0,25.89,0.149,0,0,0,0,0,0,0,64.9,0.159,228
"2019-05-26 00:58:00",0,25.9,0.148,0,0,0,0,0,0,0,64.88,0.102,227.9
"2019-05-26 00:59:00",0,25.89,0.148,0,0,0,0,0,0,0,64.61,0.136,229.2
"2019-05-26 01:00:00",0,25.88,0.148,0,0,0,0,0,0,0,64.57,0.102,228.6
"2019-05-26 01:01:00",0,25.83,0.148,0,0,0,0,0,0,0,64.72,0.091,227.9
"2019-05-26 01:02:00",0,25.81,0.148,0,0,0,0,0,0,0,64.8,0.17,227.8
"2019-05-26 01:03:00",0,25.79,0.148,0,0,0,0,0,0,0,64.68,0.125,227.3
"2019-05-26 01:04:00",0,25.7,0.148,0,0,0,0,0,0,0,64.74,0.068,227.4
