"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","61405","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-06-09 00:00:00",0,25.1,0.167,0,0,0,0,0,0,0,58.99,0.034,224
"2019-06-09 00:01:00",0,25.03,0.166,0,0,0,0,0,0,0,59.39,0.136,222.2
"2019-06-09 00:02:00",0,24.99,0.166,0,0,0,0,0,0,0,59.28,0.08,222.7
"2019-06-09 00:03:00",0,25.03,0.165,0,0,0,0,0,0,0,59.27,0.125,223.1
"2019-06-09 00:04:00",0,25.03,0.164,0,0,0,0,0,0,0,59.47,0.193,222.6
"2019-06-09 00:05:00",0,25.12,0.163,0,0,0,0,0,0,0,59.03,0.125,224.5
"2019-06-09 00:06:00",0,25.12,0.164,0,0,0,0,0,0,0,59.16,0.057,224.4
"2019-06-09 00:07:00",0,25.15,0.163,0,0,0,0,0,0,0,59.25,0.261,224.3
"2019-06-09 00:08:00",0,25.14,0.163,0,0,0,0,0,0,0,59.07,0.239,224.4
"2019-06-09 00:09:00",0,25.16,0.162,0,0,0,0,0,0,0,59.04,0.034,223.5
"2019-06-09 00:10:00",0,25.15,0.163,0,0,0,0,0,0,0,59.07,0.136,223.4
"2019-06-09 00:11:00",0,25.11,0.162,0,0,0,0,0,0,0,59.06,0.034,224
"2019-06-09 00:12:00",0,25.11,0.162,0,0,0,0,0,0,0,59.1,0.057,223.8
"2019-06-09 00:13:00",0,25.12,0.162,0,0,0,0,0,0,0,59.01,0.204,223.8
"2019-06-09 00:14:00",0,25.09,0.163,0,0,0,0,0,0,0,59.18,0.25,224
"2019-06-09 00:15:00",0,25.13,0.163,0,0,0,0,0,0,0,59.01,0.227,224.1
"2019-06-09 00:16:00",0,25.1,0.164,0,0,0,0,0,0,0,58.99,0.057,223.9
"2019-06-09 00:17:00",0,25.13,0.164,0,0,0,0,0,0,0,58.98,0.034,224.4
"2019-06-09 00:18:00",0,25.06,0.165,0,0,0,0,0,0,0,58.98,0.114,225.2
"2019-06-09 00:19:00",0,25.06,0.164,0,0,0,0,0,0,0,144,0.148,225
"2019-06-09 00:20:00",0,25.05,0.164,0,0,0,0,0,0,0,148.5,0.114,224.6
"2019-06-09 00:21:00",0,25.05,0.164,0,0,0,0,0,0,0,147.2,0.273,224.8
"2019-06-09 00:22:00",0,25.11,0.164,0,0,0,0,0,0,0,146.5,0.057,224.1
"2019-06-09 00:23:00",0,25.07,0.164,0,0,0,0,0,0,0,145.7,0.125,224.2
"2019-06-09 00:24:00",0,25.08,0.164,0,0,0,0,0,0,0,144.5,0.068,223.5
"2019-06-09 00:25:00",0,25.03,0.164,0,0,0,0,0,0,0,143.7,0.148,223.4
"2019-06-09 00:26:00",0,25.06,0.165,0,0,0,0,0,0,0,142.6,0.102,223.1
"2019-06-09 00:27:00",0,25.08,0.166,0,0,0,0,0,0,0,141.8,0.125,223.3
"2019-06-09 00:28:00",0,25.09,0.166,0,0,0,0,0,0,0,140.4,0.125,223.1
"2019-06-09 00:29:00",0,25.1,0.166,0,0,0,0,0,0,0,139.4,0.102,223.3
"2019-06-09 00:30:00",0,25.09,0.166,0,0,0,0,0,0,0,138.6,0.08,223.4
"2019-06-09 00:31:00",0,25.07,0.166,0,0,0,0,0,0,0,137.7,0.125,223
"2019-06-09 00:32:00",0,25.08,0.165,0,0,0,0,0,0,0,136.3,0.08,222.9
"2019-06-09 00:33:00",0,25.09,0.164,0,0,0,0,0,0,0,135.3,0.136,223.6
"2019-06-09 00:34:00",0,25.1,0.164,0,0,0,0,0,0,0,134.7,0.114,223.9
"2019-06-09 00:35:00",0,25.09,0.163,0,0,0,0,0,0,0,134.1,0.057,223.7
"2019-06-09 00:36:00",0,25.08,0.164,0,0,0,0,0,0,0,133.5,0.125,224.2
"2019-06-09 00:37:00",0,25.1,0.164,0,0,0,0,0,0,0,133.1,0.148,224.1
"2019-06-09 00:38:00",0,25.08,0.163,0,0,0,0,0,0,0,132.6,0,224.5
"2019-06-09 00:39:00",0,25.09,0.162,0,0,0,0,0,0,0,123.6,0,224.2
"2019-06-09 00:40:00",0,25.13,0.162,0,0,0,0,0,0,0,59.25,0.159,224.8
"2019-06-09 00:41:00",0,25.12,0.162,0,0,0,0,0,0,0,59.08,0.193,225.3
"2019-06-09 00:42:00",0,25.11,0.162,0,0,0,0,0,0,0,59.1,0.125,224.9
"2019-06-09 00:43:00",0,25.11,0.163,0,0,0,0,0,0,0,59.02,0.182,225.2
"2019-06-09 00:44:00",0,25.08,0.163,0,0,0,0,0,0,0,58.89,0.011,223.7
"2019-06-09 00:45:00",0,25.08,0.165,0,0,0,0,0,0,0,59.02,0.136,224.5
"2019-06-09 00:46:00",0,25.1,0.167,0,0,0,0,0,0,0,58.82,0.148,224.6
"2019-06-09 00:47:00",0,25.07,0.166,0,0,0,0,0,0,0,58.76,0.102,224.7
"2019-06-09 00:48:00",0,25.15,0.166,0,0,0,0,0,0,0,58.78,0.068,224.8
"2019-06-09 00:49:00",0,25.12,0.167,0,0,0,0,0,0,0,58.83,0.057,224.9
"2019-06-09 00:50:00",0,25.08,0.167,0,0,0,0,0,0,0,58.82,0.17,225.5
"2019-06-09 00:51:00",0,25.04,0.166,0,0,0,0,0,0,0,58.72,0.125,225.7
"2019-06-09 00:52:00",0,25.05,0.167,0,0,0,0,0,0,0,58.76,0.114,225.9
"2019-06-09 00:53:00",0,25.02,0.167,0,0,0,0,0,0,0,58.76,0.08,225.8
"2019-06-09 00:54:00",0,24.96,0.167,0,0,0,0,0,0,0,58.73,0.17,225.7
"2019-06-09 00:55:00",0,24.95,0.167,0,0,0,0,0,0,0,58.86,0.136,225.6
"2019-06-09 00:56:00",0,24.92,0.167,0,0,0,0,0,0,0,58.93,0.148,225.6
"2019-06-09 00:57:00",0,24.9,0.166,0,0,0,0,0,0,0,58.79,0.193,226.1
"2019-06-09 00:58:00",0,24.86,0.166,0,0,0,0,0,0,0,58.73,0.125,226.3
"2019-06-09 00:59:00",0,24.83,0.165,0,0,0,0,0,0,0,58.8,0.068,225.8
"2019-06-09 01:00:00",0,24.79,0.165,0,0,0,0,0,0,0,58.76,0.057,225.6
"2019-06-09 01:01:00",0,24.74,0.164,0,0,0,0,0,0,0,58.74,0.182,225.7
"2019-06-09 01:02:00",0,24.67,0.163,0,0,0,0,0,0,0,58.86,0.159,225.5
"2019-06-09 01:03:00",0,24.64,0.162,0,0,0,0,0,0,0,58.8,0.136,226.2
"2019-06-09 01:04:00",0,24.61,0.162,0,0,0,0,0,0,0,58.7,0.216,227.1
