"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","23775","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-10-11 11:41:00",1024,43.51,30.83,275.7,7.869,2191,247.5,"NAN","NAN",3603,25.84,0.239,233.2
"2019-10-11 11:42:00",807,43.64,30.83,244.3,"NAN","NAN",239.4,6.267,1506,2895,25.82,0.023,231.1
"2019-10-11 11:43:00",849,42.98,30.83,269.9,"NAN","NAN",253.2,5.9,1519,3186,25.87,0.08,232
"2019-10-11 11:44:00",567.2,42.18,30.83,280.2,"NAN","NAN",245.1,4.404,1095,2133,26.05,0.148,229.1
"2019-10-11 11:45:00",1278,43.86,30.83,292.8,9.47,2771,263.6,8.49,2235,4683,25.8,0.182,234.3
"2019-10-11 11:46:00",1101,43.27,30.83,282.6,8.51,2404,245.9,8.34,2049,4206,25.75,0.159,233.1
"2019-10-11 11:47:00",781.9,43.81,30.83,282.4,6.077,1722,246,5.803,1429,2997,26.03,0.114,229.8
"2019-10-11 11:48:00",704.1,43.45,30.83,277.8,5.617,1548,251,5.381,1359,2627,26.13,0.125,229.9
"2019-10-11 11:49:00",1285,43.6,30.83,277.1,10.13,2806,246.2,9.72,2393,4863,25.67,0.17,235.5
"2019-10-11 11:50:00",1236,44.65,30.83,277.5,9.69,2689,243.4,9.52,2313,4713,25.66,0.125,235.5
"2019-10-11 11:51:00",1038,44.62,30.83,270.6,8.14,2196,238,7.901,1887,3813,25.81,0.204,235.2
"2019-10-11 11:52:00",1186,45.17,30.83,278.4,9.06,2523,240,9.08,2180,4424,25.66,0.182,234.9
"2019-10-11 11:53:00",1168,44.46,30.83,279,8.94,2494,240.7,8.95,2153,4349,25.65,0.125,232.8
"2019-10-11 11:54:00",1172,45.46,30.83,277,8.97,2485,239.1,8.97,2145,4349,25.72,0.193,233.8
"2019-10-11 11:55:00",1183,45.71,30.83,278.6,9.02,2512,236.5,9.15,2163,4386,25.66,0.148,233.3
"2019-10-11 11:56:00",1102,46.07,30.83,271.3,8.62,2346,239.7,8.45,2025,4150,25.69,0.204,232.7
"2019-10-11 11:57:00",837,45.91,30.83,283.1,6.037,1725,218.3,6.688,1434,2859,26.14,0.148,229.9
"2019-10-11 11:58:00",1193,46.36,30.83,275.5,9.15,2520,238.9,9.11,2176,4418,118.9,0.193,233.7
"2019-10-11 11:59:00",1198,46.76,30.83,275.5,9.12,2512,239.1,9.12,2180,4430,153.9,0.318,234.3
"2019-10-11 12:00:00",1197,46.94,30.83,273.6,9.17,2509,237.6,9.13,2168,4387,147.8,0.17,234.6
"2019-10-11 12:01:00",1196,46.25,30.83,274.6,9.15,2512,237.8,9.11,2167,4388,144.5,0.193,234.1
"2019-10-11 12:02:00",1197,46.67,30.83,273.7,9.21,2520,237.7,9.16,2177,4395,144,0.125,234.8
"2019-10-11 12:03:00",909,44.59,30.83,272.5,7.024,1917,232.7,7.182,1660,3336,140.8,0.239,232.2
"2019-10-11 12:04:00",1178,44.23,30.83,277.8,8.94,2484,240.8,8.93,2149,4340,141.4,0.102,235
"2019-10-11 12:05:00",1148,45.23,30.83,275.8,8.77,2418,240.3,8.7,2091,4235,141.4,0.204,234.5
"2019-10-11 12:06:00",1155,45.72,30.83,275.9,8.8,2428,240.9,8.72,2100,4248,141.7,0.102,234.6
"2019-10-11 12:07:00",891,44.28,30.83,281.5,6.626,1866,245.5,6.676,1641,3285,139.7,0.193,232.3
"2019-10-11 12:08:00",1040,43.97,30.83,274.7,7.978,2197,245.4,7.896,1926,3856,138.2,0.17,232.2
"2019-10-11 12:09:00",1171,44.54,30.83,277.1,8.93,2473,241.1,8.86,2135,4327,138.9,0.148,232.7
"2019-10-11 12:10:00",1143,44.58,30.83,278.1,8.66,2408,241.1,8.63,2081,4208,138,0.114,232.2
"2019-10-11 12:11:00",1150,44.53,30.83,277.5,8.71,2416,240.4,8.69,2090,4227,137.1,0.148,231.3
"2019-10-11 12:12:00",1143,44.72,30.83,274.9,8.74,2401,240.9,8.62,2076,4203,137.4,0.182,230.9
"2019-10-11 12:13:00",1144,44.85,30.83,277,8.68,2402,238.9,8.69,2076,4202,136.5,0.148,230.7
"2019-10-11 12:14:00",1160,45.12,30.83,276.2,8.82,2436,238.8,8.81,2104,4254,136.2,0.148,230.9
"2019-10-11 12:15:00",1149,44.53,30.83,276.3,8.74,2413,240.7,8.67,2086,4210,135.2,0.148,231.2
"2019-10-11 12:16:00",1139,44.09,30.83,277.3,8.64,2397,241,8.6,2072,4202,135.3,0.216,231
"2019-10-11 12:17:00",1136,44.8,30.83,276.8,8.63,2389,239.6,8.61,2062,4176,136.5,0.159,231.7
"2019-10-11 12:18:00",1143,44.95,30.83,278.2,8.64,2403,239.8,8.66,2077,4204,136.7,0.114,232.3
"2019-10-11 12:19:00",1166,45.73,30.83,276.8,8.85,2448,239.4,8.82,2110,4277,136.5,0.136,232.3
"2019-10-11 12:20:00",1020,45.41,30.83,270.6,7.849,2124,234.9,7.88,1848,3711,136.6,0.114,232.1
"2019-10-11 12:21:00",1151,44.12,30.83,276.7,8.77,2427,240.2,8.73,2097,4245,136.9,0.114,234.3
"2019-10-11 12:22:00",1168,45.19,30.83,278.7,8.86,2468,240.7,8.88,2136,4326,136.6,0.193,234.3
"2019-10-11 12:23:00",1170,46.3,30.83,277.2,9.01,2499,238,9.16,2181,4391,95.8,0.114,232.7
"2019-10-11 12:24:00",1124,45.84,30.83,270,8.85,2392,234.4,8.82,2070,4217,26.05,0.216,232
"2019-10-11 12:25:00",962,46.61,30.83,279.8,7.399,2073,240.3,7.459,1801,3566,26.49,0.091,228.2
"2019-10-11 12:26:00",1250,45.75,30.83,278.4,9.58,2664,238.8,9.47,2257,4595,26.14,0.114,232
"2019-10-11 12:27:00",1222,45.27,30.83,277.2,9.48,2628,237.6,9.52,2262,4570,26.14,0.034,231.8
"2019-10-11 12:28:00",1228,44.94,30.83,276.7,9.52,2633,237.7,9.55,2270,4594,26.16,0.091,231.4
"2019-10-11 12:29:00",1202,45.96,30.83,277.5,9.3,2580,240.9,9.3,2238,4499,26.05,0.216,233.1
"2019-10-11 12:30:00",894,45.46,30.83,283.8,6.771,1929,243.1,6.984,1702,3370,52.51,0.239,231.4
"2019-10-11 12:31:00",1266,45.47,30.83,275.6,9.91,2732,237.6,9.86,2341,4739,131.2,0.068,231.5
"2019-10-11 12:32:00",1273,48.05,30.83,274.2,9.93,2721,239.5,9.75,2330,4709,138.1,0.057,231.5
