"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","23775","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-11-07 00:00:00",0,27.46,28.7,0,0,0,0,0,0,0,193.7,0.125,225.2
"2019-11-07 00:01:00",0,27.55,28.7,0,0,0,0,0,0,0,192.9,0.295,225.2
"2019-11-07 00:02:00",0,27.5,28.7,0,0,0,0,0,0,0,192.4,0.011,225.1
"2019-11-07 00:03:00",0,27.48,28.7,0,0,0,0,0,0,0,191.8,0.068,225.1
"2019-11-07 00:04:00",0,27.5,28.7,0,0,0,0,0,0,0,191.2,0.193,225.8
"2019-11-07 00:05:00",0,27.55,28.7,0,0,0,0,0,0,0,190.7,0.114,224.8
"2019-11-07 00:06:00",0,27.55,28.7,0,0,0,0,0,0,0,190.5,0.114,224.9
"2019-11-07 00:07:00",0,27.57,28.7,0,0,0,0,0,0,0,190.2,0.114,225.1
"2019-11-07 00:08:00",0,27.56,28.7,0,0,0,0,0,0,0,189.6,0.261,225.7
"2019-11-07 00:09:00",0,27.61,28.7,0,0,0,0,0,0,0,189.3,0.125,226.2
"2019-11-07 00:10:00",0,27.63,28.7,0,0,0,0,0,0,0,189.3,0.08,226.3
"2019-11-07 00:11:00",0,27.59,28.7,0,0,0,0,0,0,0,189.2,0.239,226.5
"2019-11-07 00:12:00",0,27.58,28.7,0,0,0,0,0,0,0,188.8,0.136,226.1
"2019-11-07 00:13:00",0,27.46,28.7,0,0,0,0,0,0,0,188.2,0.182,225.8
"2019-11-07 00:14:00",0,27.5,28.7,0,0,0,0,0,0,0,188,0.125,225.7
"2019-11-07 00:15:00",0,27.45,28.7,0,0,0,0,0,0,0,187.2,0.148,225.7
"2019-11-07 00:16:00",0,27.5,28.7,0,0,0,0,0,0,0,187.1,0.091,225.3
"2019-11-07 00:17:00",0,27.4,28.7,0,0,0,0,0,0,0,186.8,0.17,225.3
"2019-11-07 00:18:00",0,27.38,28.7,0,0,0,0,0,0,0,186.5,0.068,225.6
"2019-11-07 00:19:00",0,27.37,28.7,0,0,0,0,0,0,0,186.2,0.057,225.4
"2019-11-07 00:20:00",0,27.38,28.7,0,0,0,0,0,0,0,186.1,0.136,225.7
"2019-11-07 00:21:00",0,27.38,28.7,0,0,0,0,0,0,0,185.7,0.114,225.3
"2019-11-07 00:22:00",0,27.32,28.7,0,0,0,0,0,0,0,185.5,0.045,224.3
"2019-11-07 00:23:00",0,27.34,28.7,0,0,0,0,0,0,0,185.1,0.136,224.4
"2019-11-07 00:24:00",0,27.37,28.7,0,0,0,0,0,0,0,185.3,0.102,225
"2019-11-07 00:25:00",0,27.48,28.7,0,0,0,0,0,0,0,184.9,0,224.6
"2019-11-07 00:26:00",0,27.45,28.7,0,0,0,0,0,0,0,184.3,0.136,225.1
"2019-11-07 00:27:00",0,27.45,28.7,0,0,0,0,0,0,0,184.5,0.102,225.1
"2019-11-07 00:28:00",0,27.42,28.7,0,0,0,0,0,0,0,184.7,0.136,226.2
"2019-11-07 00:29:00",0,27.46,28.7,0,0,0,0,0,0,0,184.4,0.102,225.8
"2019-11-07 00:30:00",0,27.48,28.7,0,0,0,0,0,0,0,184.3,0.136,225.9
"2019-11-07 00:31:00",0,27.49,28.7,0,0,0,0,0,0,0,184.3,0.102,226.1
"2019-11-07 00:32:00",0,27.46,28.7,0,0,0,0,0,0,0,184.4,0.114,226.6
"2019-11-07 00:33:00",0,27.47,28.7,0,0,0,0,0,0,0,184,0.114,226.4
"2019-11-07 00:34:00",0,27.44,28.7,0,0,0,0,0,0,0,183.9,0.091,226.3
"2019-11-07 00:35:00",0,27.47,28.7,0,0,0,0,0,0,0,183.8,0.125,226.2
"2019-11-07 00:36:00",0,27.49,28.7,0,0,0,0,0,0,0,183.8,0.068,226.4
"2019-11-07 00:37:00",0,27.44,28.7,0,0,0,0,0,0,0,183.5,0.216,226.6
"2019-11-07 00:38:00",0,27.45,28.7,0,0,0,0,0,0,0,130.6,0.102,226.8
"2019-11-07 00:39:00",0,27.43,28.7,0,0,0,0,0,0,0,74,0.091,225.5
"2019-11-07 00:40:00",0,27.38,28.7,0,0,0,0,0,0,0,73.92,0.057,223.9
"2019-11-07 00:41:00",0,27.4,28.7,0,0,0,0,0,0,0,73.94,0.034,226
"2019-11-07 00:42:00",0,27.4,28.7,0,0,0,0,0,0,0,73.92,0.068,227
"2019-11-07 00:43:00",0,27.43,28.7,0,0,0,0,0,0,0,73.83,0.193,226.9
"2019-11-07 00:44:00",0,27.4,28.7,0,0,0,0,0,0,0,73.83,0.182,227.3
"2019-11-07 00:45:00",0,27.38,28.7,0,0,0,0,0,0,0,74.01,0.114,227.3
"2019-11-07 00:46:00",0,27.39,28.7,0,0,0,0,0,0,0,74,0.08,224.4
"2019-11-07 00:47:00",0,27.35,28.7,0,0,0,0,0,0,0,73.83,0.091,224.1
"2019-11-07 00:48:00",0,27.34,28.7,0,0,0,0,0,0,0,73.87,0.102,223.7
"2019-11-07 00:49:00",0,27.33,28.7,0,0,0,0,0,0,0,74.1,0.068,223.3
"2019-11-07 00:50:00",0,27.32,28.7,0,0,0,0,0,0,0,73.99,0.102,223
"2019-11-07 00:51:00",0,27.31,28.7,0,0,0,0,0,0,0,73.89,0.068,223.4
"2019-11-07 00:52:00",0,27.33,28.7,0,0,0,0,0,0,0,74.03,0.068,222.9
"2019-11-07 00:53:00",0,27.31,28.7,0,0,0,0,0,0,0,73.96,0.08,222.6
"2019-11-07 00:54:00",0,27.34,28.7,0,0,0,0,0,0,0,74.05,0.159,223.3
"2019-11-07 00:55:00",0,27.28,28.7,0,0,0,0,0,0,0,74,0.068,223.7
"2019-11-07 00:56:00",0,27.28,28.7,0,0,0,0,0,0,0,73.96,0.08,223.9
"2019-11-07 00:57:00",0,27.3,28.7,0,0,0,0,0,0,0,74.04,0.091,224
"2019-11-07 00:58:00",0,27.28,28.7,0,0,0,0,0,0,0,74.03,0.091,223.8
"2019-11-07 00:59:00",0,27.28,28.7,0,0,0,0,0,0,0,73.97,0.125,223.9
"2019-11-07 01:00:00",0,27.28,28.7,0,0,0,0,0,0,0,74.02,0.057,223.4
"2019-11-07 01:01:00",0,27.26,28.7,0,0,0,0,0,0,0,74.05,0.091,223.8
"2019-11-07 01:02:00",0,27.21,28.7,0,0,0,0,0,0,0,73.91,0.068,223.8
"2019-11-07 01:03:00",0,27.18,28.7,0,0,0,0,0,0,0,73.88,0,223.1
"2019-11-07 01:04:00",0,27.14,28.7,0,0,0,0,0,0,0,73.87,0.204,224.1
