"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","23775","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-12-18 00:00:00",0,27.21,28.7,0,0,0,0,0,0,0,194.3,0.08,221.9
"2019-12-18 00:01:00",0,27.13,28.7,0,0,0,0,0,0,0,191.8,0.08,222.2
"2019-12-18 00:02:00",0,27.19,28.7,0,0,0,0,0,0,0,192,0.136,222.5
"2019-12-18 00:03:00",0,27.14,28.7,0,0,0,0,0,0,0,186.1,0.136,222.6
"2019-12-18 00:04:00",0,27.12,28.7,0,0,0,0,0,0,0,187,0.25,223.1
"2019-12-18 00:05:00",0,27.1,28.7,0,0,0,0,0,0,0,192.9,0.114,223
"2019-12-18 00:06:00",0,27.09,28.7,0,0,0,0,0,0,0,188.8,0.182,222.4
"2019-12-18 00:07:00",0,27.13,28.7,0,0,0,0,0,0,0,329.2,0.136,222.2
"2019-12-18 00:08:00",0,27.13,28.7,0,0,0,0,0,0,0,311.9,0.057,222.4
"2019-12-18 00:09:00",0,27.2,28.7,0,0,0,0,0,0,0,306.6,0.25,223
"2019-12-18 00:10:00",0,27.13,28.7,0,0,0,0,0,0,0,710.1,0.091,221.6
"2019-12-18 00:11:00",0,27.01,28.7,0,0,0,0,0,0,0,1366,0.136,219.8
"2019-12-18 00:12:00",0,27.2,28.7,0,0,0,0,0,0,0,1507,0.136,219.7
"2019-12-18 00:13:00",0,27.13,28.7,0,0,0,0,0,0,0,1586,0.125,219.4
"2019-12-18 00:14:00",0,27.23,28.7,0,0,0,0,0,0,0,1526,0.102,219
"2019-12-18 00:15:00",0,27.33,28.7,0,0,0,0,0,0,0,1506,0.125,219.4
"2019-12-18 00:16:00",0,27.23,28.7,0,0,0,0,0,0,0,1511,0.114,219.1
"2019-12-18 00:17:00",0,27.19,28.7,0,0,0,0,0,0,0,1500,0.102,218.9
"2019-12-18 00:18:00",0,27.13,28.7,0,0,0,0,0,0,0,1496,0.114,219.4
"2019-12-18 00:19:00",0,27.12,28.7,0,0,0,0,0,0,0,1483,0.159,219.9
"2019-12-18 00:20:00",0,27.09,28.7,0,0,0,0,0,0,0,1471,0.125,220.1
"2019-12-18 00:21:00",0,27.2,28.7,0,0,0,0,0,0,0,1468,0.057,219.5
"2019-12-18 00:22:00",0,27.06,28.7,0,0,0,0,0,0,0,1466,0.08,219.9
"2019-12-18 00:23:00",0,27.06,28.7,0,0,0,0,0,0,0,1458,0.045,219.3
"2019-12-18 00:24:00",0,27.06,28.7,0,0,0,0,0,0,0,1451,0.091,218.5
"2019-12-18 00:25:00",0,27.09,28.7,0,0,0,0,0,0,0,1431,0,218.7
"2019-12-18 00:26:00",0,27.11,28.7,0,0,0,0,0,0,0,1334,0.045,219.1
"2019-12-18 00:27:00",0,27.16,28.7,0,0,0,0,0,0,0,1335,0.204,219.4
"2019-12-18 00:28:00",0,27.12,28.7,0,0,0,0,0,0,0,1339,0.148,218.6
"2019-12-18 00:29:00",0,27.15,28.7,0,0,0,0,0,0,0,1330,0.023,218.9
"2019-12-18 00:30:00",0,27.16,28.7,0,0,0,0,0,0,0,1321,0.148,220.3
"2019-12-18 00:31:00",0,27.21,28.7,0,0,0,0,0,0,0,1326,0.136,220.1
"2019-12-18 00:32:00",0,27.19,28.7,0,0,0,0,0,0,0,1327,0.227,220.1
"2019-12-18 00:33:00",0,27.16,28.7,0,0,0,0,0,0,0,1320,0.136,220
"2019-12-18 00:34:00",0,27.11,28.7,0,0,0,0,0,0,0,1228,0.114,220
"2019-12-18 00:35:00",0,27.08,28.7,0,0,0,0,0,0,0,1217,0.148,219.9
"2019-12-18 00:36:00",0,27.08,28.7,0,0,0,0,0,0,0,1213,0.102,219.9
"2019-12-18 00:37:00",0,27.07,28.7,0,0,0,0,0,0,0,1206,0.261,220
"2019-12-18 00:38:00",0,27.02,28.7,0,0,0,0,0,0,0,1215,0.045,220.2
"2019-12-18 00:39:00",0,27.11,28.7,0,0,0,0,0,0,0,1205,0.068,219.8
"2019-12-18 00:40:00",0,27.02,28.7,0,0,0,0,0,0,0,1205,0.08,219.7
"2019-12-18 00:41:00",0,27.07,28.7,0,0,0,0,0,0,0,1212,0.091,220
"2019-12-18 00:42:00",0,27.03,28.7,0,0,0,0,0,0,0,1212,0.114,220.2
"2019-12-18 00:43:00",0,27.03,28.7,0,0,0,0,0,0,0,1202,0.17,220.7
"2019-12-18 00:44:00",0,27.05,28.7,0,0,0,0,0,0,0,1205,0.136,220.5
"2019-12-18 00:45:00",0,27.02,28.7,0,0,0,0,0,0,0,1206,0.295,220.1
"2019-12-18 00:46:00",0,27.08,28.7,0,0,0,0,0,0,0,1203,0.114,219.5
"2019-12-18 00:47:00",0,27.1,28.7,0,0,0,0,0,0,0,1202,0.148,219.8
"2019-12-18 00:48:00",0,27.06,28.7,0,0,0,0,0,0,0,1211,0.204,219.8
"2019-12-18 00:49:00",0,27.1,28.7,0,0,0,0,0,0,0,1207,0.25,219.9
"2019-12-18 00:50:00",0,27.04,28.7,0,0,0,0,0,0,0,1201,0.114,219.4
"2019-12-18 00:51:00",0,27.01,28.7,0,0,0,0,0,0,0,1203,0.363,219.2
"2019-12-18 00:52:00",0,27.02,28.7,0,0,0,0,0,0,0,1196,0.045,217.8
"2019-12-18 00:53:00",0,26.97,28.7,0,0,0,0,0,0,0,1195,0.17,218.8
"2019-12-18 00:54:00",0,26.88,28.7,0,0,0,0,0,0,0,1197,0.148,219
"2019-12-18 00:55:00",0,26.93,28.7,0,0,0,0,0,0,0,1201,0.182,219.7
"2019-12-18 00:56:00",0,26.9,28.7,0,0,0,0,0,0,0,1201,0.114,219.2
"2019-12-18 00:57:00",0,26.88,28.7,0,0,0,0,0,0,0,1194,0.261,219.4
"2019-12-18 00:58:00",0,26.88,28.7,0,0,0,0,0,0,0,1206,0.045,218.9
"2019-12-18 00:59:00",0,26.96,28.7,0,0,0,0,0,0,0,1198,0.216,219.2
"2019-12-18 01:00:00",0,26.98,28.7,0,0,0,0,0,0,0,1194,0.102,219.1
"2019-12-18 01:01:00",0,27.02,28.7,0,0,0,0,0,0,0,1195,0.193,219.3
"2019-12-18 01:02:00",0,27.05,28.7,0,0,0,0,0,0,0,1200,0.227,219.9
"2019-12-18 01:03:00",0,27.01,28.7,0,0,0,0,0,0,0,1324,0.148,219.1
"2019-12-18 01:04:00",0,26.89,28.7,0,0,0,0,0,0,0,1314,0.102,219
"2019-12-18 01:05:00",0,26.85,28.7,0,0,0,0,0,0,0,1306,0.057,219.6
