"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","55978","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-03-29 00:00:00",0,27.62,28.7,0,0,0,0,0,0,0,1895,0,1895,213.9
"2020-03-29 00:01:00",0,27.67,28.7,0,0,0,0,0,0,0,2002,0,2002,214
"2020-03-29 00:02:00",0,27.7,28.7,0,0,0,0,0,0,0,1899,0,1899,214.4
"2020-03-29 00:03:00",0,27.75,28.7,0,0,0,0,0,0,0,1864,0,1864,214.8
"2020-03-29 00:04:00",0,27.77,28.7,0,0,0,0,0,0,0,1854,0,1854,214.5
"2020-03-29 00:05:00",0,27.73,28.7,0,0,0,0,0,0,0,1849,0,1849,213.8
"2020-03-29 00:06:00",0,27.76,28.7,0,0,0,0,0,0,0,1845,0,1845,213.8
"2020-03-29 00:07:00",0,27.8,28.7,0,0,0,0,0,0,0,1843,0,1843,214
"2020-03-29 00:08:00",0,27.87,28.7,0,0,0,0,0,0,0,1834,0,1834,212.3
"2020-03-29 00:09:00",0,27.8,28.7,0,0,0,0,0,0,0,1830,0,1830,212.6
"2020-03-29 00:10:00",0,27.8,28.7,0,0,0,0,0,0,0,1827,0,1827,212.6
"2020-03-29 00:11:00",0,27.82,28.7,0,0,0,0,0,0,0,1829,0,1829,213.8
"2020-03-29 00:12:00",0,27.89,28.7,0,0,0,0,0,0,0,1828,0,1828,214.4
"2020-03-29 00:13:00",0,27.84,28.7,0,0,0,0,0,0,0,1828,0,1828,215.5
"2020-03-29 00:14:00",0,27.88,28.7,0,0,0,0,0,0,0,1828,0,1828,215.6
"2020-03-29 00:15:00",0,27.88,28.7,0,0,0,0,0,0,0,1825,0,1825,215.3
"2020-03-29 00:16:00",0,27.86,28.7,0,0,0,0,0,0,0,1821,0,1821,214.9
"2020-03-29 00:17:00",0,27.83,28.7,0,0,0,0,0,0,0,1815,0,1815,214.9
