"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","23775","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-03-07 00:00:00",0,29.76,29.76,0,0,0,0,0,0,0,985,0.114,225
"2020-03-07 00:01:00",0,29.74,29.76,0,0,0,0,0,0,0,985,0.25,225.5
"2020-03-07 00:02:00",0,29.73,29.76,0,0,0,0,0,0,0,985,0.125,225.1
"2020-03-07 00:03:00",0,29.7,29.76,0,0,0,0,0,0,0,983,0.034,224.7
"2020-03-07 00:04:00",0,29.74,29.76,0,0,0,0,0,0,0,984,0.148,224.1
"2020-03-07 00:05:00",0,29.81,29.76,0,0,0,0,0,0,0,990,0,223.7
"2020-03-07 00:06:00",0,29.73,29.76,0,0,0,0,0,0,0,983,0.08,222.8
"2020-03-07 00:07:00",0,29.7,29.76,0,0,0,0,0,0,0,982,0.227,223
"2020-03-07 00:08:00",0,29.76,29.76,0,0,0,0,0,0,0,983,0.102,222.9
"2020-03-07 00:09:00",0,29.78,29.76,0,0,0,0,0,0,0,977,0.17,223.2
"2020-03-07 00:10:00",0,29.8,29.76,0,0,0,0,0,0,0,972,0.239,223.9
"2020-03-07 00:11:00",0,29.81,29.76,0,0,0,0,0,0,0,976,0.102,225
"2020-03-07 00:12:00",0,29.8,29.76,0,0,0,0,0,0,0,872,0.148,225.3
"2020-03-07 00:13:00",0,29.85,29.76,0,0,0,0,0,0,0,193.3,0.114,227.2
"2020-03-07 00:14:00",0,29.8,29.76,0,0,0,0,0,0,0,185.5,0.159,227.4
"2020-03-07 00:15:00",0,29.77,29.76,0,0,0,0,0,0,0,182.8,0.125,227
"2020-03-07 00:16:00",0,29.77,29.76,0,0,0,0,0,0,0,180,0.159,227.5
"2020-03-07 00:17:00",0,29.82,29.76,0,0,0,0,0,0,0,263.2,0.148,227.1
"2020-03-07 00:18:00",0,29.77,29.76,0,0,0,0,0,0,0,307.3,0.114,226.9
"2020-03-07 00:19:00",0,29.77,29.76,0,0,0,0,0,0,0,308.6,0.114,226.7
"2020-03-07 00:20:00",0,29.76,29.76,0,0,0,0,0,0,0,308.9,0.148,226.8
"2020-03-07 00:21:00",0,29.74,29.76,0,0,0,0,0,0,0,300.5,0.136,227.1
"2020-03-07 00:22:00",0,29.73,29.76,0,0,0,0,0,0,0,297.8,0.023,226.8
"2020-03-07 00:23:00",0,29.65,29.76,0,0,0,0,0,0,0,291.3,0.114,227.2
"2020-03-07 00:24:00",0,29.66,29.76,0,0,0,0,0,0,0,287.9,0.08,227.9
"2020-03-07 00:25:00",0,29.68,29.76,0,0,0,0,0,0,0,297.9,0.091,227.7
"2020-03-07 00:26:00",0,29.72,29.76,0,0,0,0,0,0,0,298.2,0.182,228
"2020-03-07 00:27:00",0,29.69,29.76,0,0,0,0,0,0,0,313.3,0.17,227.9
"2020-03-07 00:28:00",0,29.69,29.76,0,0,0,0,0,0,0,303.8,0.091,227.9
"2020-03-07 00:29:00",0,29.67,29.76,0,0,0,0,0,0,0,289.7,0.182,228
"2020-03-07 00:30:00",0,29.65,29.76,0,0,0,0,0,0,0,291.4,0.261,228.4
"2020-03-07 00:31:00",0,29.64,29.76,0,0,0,0,0,0,0,292.5,0.307,228.1
"2020-03-07 00:32:00",0,29.67,29.76,0,0,0,0,0,0,0,291.9,0.216,228.1
"2020-03-07 00:33:00",0,29.63,29.76,0,0,0,0,0,0,0,291.7,0.034,227.4
"2020-03-07 00:34:00",0,29.64,29.76,0,0,0,0,0,0,0,290.7,0.261,227.7
"2020-03-07 00:35:00",0,29.6,29.76,0,0,0,0,0,0,0,291,0.102,227.4
"2020-03-07 00:36:00",0,29.67,29.76,0,0,0,0,0,0,0,285.1,0.057,227.6
"2020-03-07 00:37:00",0,29.63,29.76,0,0,0,0,0,0,0,176.3,0.136,228.2
"2020-03-07 00:38:00",0,29.57,29.76,0,0,0,0,0,0,0,176.5,0.261,228.5
"2020-03-07 00:39:00",0,29.55,29.76,0,0,0,0,0,0,0,175.8,0.261,228.7
"2020-03-07 00:40:00",0,29.64,29.76,0,0,0,0,0,0,0,186.1,0.159,228.4
"2020-03-07 00:41:00",0,29.63,29.76,0,0,0,0,0,0,0,188.3,0.204,228.3
"2020-03-07 00:42:00",0,29.63,29.76,0,0,0,0,0,0,0,188.4,0.148,228.5
"2020-03-07 00:43:00",0,29.61,29.76,0,0,0,0,0,0,0,187.8,0.102,228.5
"2020-03-07 00:44:00",0,29.63,29.76,0,0,0,0,0,0,0,187.1,0.08,227.8
"2020-03-07 00:45:00",0,29.64,29.76,0,0,0,0,0,0,0,186.8,0.148,228.1
"2020-03-07 00:46:00",0,29.7,29.76,0,0,0,0,0,0,0,187.3,0.102,228
"2020-03-07 00:47:00",0,29.72,29.76,0,0,0,0,0,0,0,186.8,0.091,227.8
"2020-03-07 00:48:00",0,29.74,29.76,0,0,0,0,0,0,0,181.4,0.25,228.3
"2020-03-07 00:49:00",0,29.77,29.76,0,0,0,0,0,0,0,174.9,0.148,228.3
"2020-03-07 00:50:00",0,29.71,29.76,0,0,0,0,0,0,0,174.9,0.136,228
"2020-03-07 00:51:00",0,29.71,29.76,0,0,0,0,0,0,0,175.9,0.193,227.8
"2020-03-07 00:52:00",0,29.71,29.76,0,0,0,0,0,0,0,177,0.136,227.7
"2020-03-07 00:53:00",0,29.69,29.76,0,0,0,0,0,0,0,177.1,0.159,227.9
"2020-03-07 00:54:00",0,29.68,29.76,0,0,0,0,0,0,0,175.8,0.136,227.8
"2020-03-07 00:55:00",0,29.65,29.76,0,0,0,0,0,0,0,175.6,0.136,227.5
"2020-03-07 00:56:00",0,29.67,29.76,0,0,0,0,0,0,0,176.7,0.216,227.7
"2020-03-07 00:57:00",0,29.63,29.76,0,0,0,0,0,0,0,175.6,0.125,228.1
"2020-03-07 00:58:00",0,29.63,29.76,0,0,0,0,0,0,0,175.2,0.216,228.2
"2020-03-07 00:59:00",0,29.59,29.76,0,0,0,0,0,0,0,171.7,0.159,228
"2020-03-07 01:00:00",0,29.67,29.76,0,0,0,0,0,0,0,173.1,0.011,227.3
"2020-03-07 01:01:00",0,29.7,29.76,0,0,0,0,0,0,0,172.7,0.057,227.7
"2020-03-07 01:02:00",0,29.71,29.76,0,0,0,0,0,0,0,106,0.125,227.9
"2020-03-07 01:03:00",0,29.66,29.76,0,0,0,0,0,0,0,53.45,0.08,227.4
"2020-03-07 01:04:00",0,29.62,29.76,0,0,0,0,0,0,0,54.84,0.182,228
"2020-03-07 01:05:00",0,29.69,29.76,0,0,0,0,0,0,0,54.82,0.216,228.1
