"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","52309","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-01-16 00:00:00",0,27.1,28.71,0,0,0,0,0,0,0,223.3,0,223.3,224
"2021-01-16 00:01:00",0,27.02,28.71,0,0,0,0,0,0,0,219.5,0,219.5,223.8
"2021-01-16 00:02:00",0,27.03,28.71,0,0,0,0,0,0,0,217.5,0,217.5,223
"2021-01-16 00:03:00",0,27.03,28.71,0,0,0,0,0,0,0,221.2,0,221.2,222.9
"2021-01-16 00:04:00",0,27.09,28.71,0,0,0,0,0,0,0,280.9,0,280.9,222.3
"2021-01-16 00:05:00",0,27.08,28.71,0,0,0,0,0,0,0,295.8,0,295.8,222.3
"2021-01-16 00:06:00",0,27,28.71,0,0,0,0,0,0,0,296.8,0,296.8,221.7
"2021-01-16 00:07:00",0,26.98,28.71,0,0,0,0,0,0,0,299.3,0,299.3,222.2
"2021-01-16 00:08:00",0,27.06,28.71,0,0,0,0,0,0,0,295.6,0,295.6,222
"2021-01-16 00:09:00",0,27.07,28.71,0,0,0,0,0,0,0,289.9,0,289.9,221.4
"2021-01-16 00:10:00",0,27.06,28.71,0,0,0,0,0,0,0,220.6,0,220.6,222.6
"2021-01-16 00:11:00",0,27.02,28.71,0,0,0,0,0,0,0,205.1,0,205.1,222.3
"2021-01-16 00:12:00",0,27.09,28.71,0,0,0,0,0,0,0,204.4,0,204.4,222.8
"2021-01-16 00:13:00",0,27.15,28.71,0,0,0,0,0,0,0,204.7,0,204.7,222.8
"2021-01-16 00:14:00",0,27.21,28.71,0,0,0,0,0,0,0,209.2,0,209.2,224.3
"2021-01-16 00:15:00",0,27.24,28.71,0,0,0,0,0,0,0,207.6,0,207.6,226.1
"2021-01-16 00:16:00",0,27.12,28.71,0,0,0,0,0,0,0,207.5,0,207.5,226.1
"2021-01-16 00:17:00",0,27.15,28.71,0,0,0,0,0,0,0,206.8,0,206.8,225.3
