"TOA5","6428","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","52309","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-03-03 11:55:00",1192,50.07,31.89,271.1,9.06,2455,232.8,9.03,2102,4258,212.4,4046,0,232.5
"2021-03-03 11:56:00",1187,49.85,31.89,271.3,8.99,2440,232.3,8.99,2088,4231,213.9,4017,0,233.6
"2021-03-03 11:57:00",1182,48.83,31.89,272.5,8.97,2446,233.2,8.98,2093,4230,212.1,4018,0,232.5
"2021-03-03 11:58:00",1179,49.42,31.89,271.9,8.96,2436,233.5,8.92,2083,4230,213,4017,0,232.5
"2021-03-03 11:59:00",1176,50.19,31.89,272,8.91,2423,233.6,8.9,2079,4230,211.9,4018,0,232.4
"2021-03-03 12:00:00",1177,50.16,31.89,272,8.93,2428,233.3,8.91,2080,4230,211.4,4019,0,232.9
"2021-03-03 12:01:00",1179,48.95,31.89,272.9,8.99,2454,232.7,8.98,2089,4231,211.4,4020,0,232.7
"2021-03-03 12:02:00",1181,48.1,31.89,273.3,9.02,2465,234.2,9.01,2109,4272,155.7,4116,0,233
"2021-03-03 12:03:00",1179,48.44,31.89,272.8,8.98,2449,233.8,8.98,2100,4261,102.6,4158,0,233.1
"2021-03-03 12:04:00",1172,49.89,31.89,272.6,8.97,2445,233.1,8.94,2084,4230,103.6,4127,0,232.7
"2021-03-03 12:05:00",1145,49.98,31.89,273.6,8.76,2396,235.3,8.76,2059,4172,99.2,4073,0,232.3
"2021-03-03 12:06:00",1115,49.38,31.89,273.2,8.57,2340,235.2,8.6,2022,4079,119.7,3959,0,232.9
"2021-03-03 12:07:00",1161,49.83,31.89,272.9,8.88,2422,234.5,8.84,2074,4214,197.6,4017,0,232.6
"2021-03-03 12:08:00",1156,49.4,31.86,273.3,8.84,2417,235.4,8.8,2071,4189,196.2,3993,0,232.4
"2021-03-03 12:09:00",1151,49.59,31.07,273,8.81,2406,233.4,8.76,2046,4161,198.7,3962,0,232.2
